256 192
-0.001802 -0.902703 0.000000
0.538739 -0.902703 0.000000
0.538739 0.899099 0.000000
-0.001802 0.899099 0.000000
-0.001793 -0.902703 0.000177
0.536145 -0.902703 -0.052806
0.536145 0.899099 -0.052806
-0.001793 0.899099 0.000177
-0.001767 -0.902703 0.000351
0.528387 -0.902703 -0.105103
0.528387 0.899099 -0.105103
-0.001767 0.899099 0.000352
-0.001724 -0.902703 0.000523
0.515541 -0.902703 -0.156388
0.515541 0.899099 -0.156388
-0.001724 0.899099 0.000523
-0.001665 -0.902703 0.000689
0.497730 -0.902703 -0.206166
0.497730 0.899099 -0.206166
-0.001665 0.899099 0.000690
-0.001589 -0.902703 0.000849
0.475125 -0.902703 -0.253960
0.475125 0.899099 -0.253960
-0.001589 0.899099 0.000849
-0.001498 -0.902703 0.001001
0.447945 -0.902703 -0.299307
0.447945 0.899099 -0.299307
-0.001498 0.899099 0.001001
-0.001393 -0.902703 0.001143
0.416451 -0.902703 -0.341772
0.416451 0.899099 -0.341772
-0.001393 0.899099 0.001143
-0.001274 -0.902703 0.001274
0.380946 -0.902703 -0.380946
0.380946 0.899099 -0.380946
-0.001274 0.899099 0.001274
-0.001143 -0.902703 0.001393
0.341772 -0.902703 -0.416451
0.341772 0.899099 -0.416451
-0.001143 0.899099 0.001393
-0.001001 -0.902703 0.001498
0.299307 -0.902703 -0.447945
0.299307 0.899099 -0.447945
-0.001001 0.899099 0.001498
-0.000849 -0.902703 0.001589
0.253960 -0.902703 -0.475125
0.253960 0.899099 -0.475125
-0.000849 0.899099 0.001589
-0.000690 -0.902703 0.001665
0.206166 -0.902703 -0.497730
0.206166 0.899099 -0.497730
-0.000690 0.899099 0.001665
-0.000523 -0.902703 0.001724
0.156388 -0.902703 -0.515541
0.156388 0.899099 -0.515541
-0.000523 0.899099 0.001724
-0.000352 -0.902703 0.001767
0.105103 -0.902703 -0.528387
0.105103 0.899099 -0.528387
-0.000352 0.899099 0.001767
-0.000177 -0.902703 0.001793
0.052806 -0.902703 -0.536145
0.052806 0.899099 -0.536144
-0.000177 0.899099 0.001793
0.000000 -0.902703 0.001802
0.000000 -0.902703 -0.538739
0.000000 0.899099 -0.538739
0.000000 0.899099 0.001802
0.000177 -0.902703 0.001793
-0.052806 -0.902703 -0.536145
-0.052806 0.899099 -0.536144
0.000177 0.899099 0.001793
0.000352 -0.902703 0.001767
-0.105103 -0.902703 -0.528387
-0.105103 0.899099 -0.528387
0.000352 0.899099 0.001767
0.000523 -0.902703 0.001724
-0.156388 -0.902703 -0.515541
-0.156388 0.899099 -0.515541
0.000523 0.899099 0.001724
0.000690 -0.902703 0.001665
-0.206166 -0.902703 -0.497730
-0.206166 0.899099 -0.497730
0.000690 0.899099 0.001665
0.000849 -0.902703 0.001589
-0.253960 -0.902703 -0.475125
-0.253960 0.899099 -0.475125
0.000849 0.899099 0.001589
0.001001 -0.902703 0.001498
-0.299307 -0.902703 -0.447945
-0.299307 0.899099 -0.447945
0.001001 0.899099 0.001498
0.001143 -0.902703 0.001393
-0.341772 -0.902703 -0.416451
-0.341772 0.899099 -0.416451
0.001143 0.899099 0.001393
0.001274 -0.902703 0.001274
