7958 7872
0.490583 0.719791 -0.186287
0.475731 0.737549 -0.192902
0.476952 0.722916 -0.160851
0.507355 0.699112 -0.178955
0.499054 0.717773 -0.213936
0.483154 0.735779 -0.217377
0.463715 0.740295 -0.170441
0.491943 0.702637 -0.150208
0.516968 0.696838 -0.210144
-0.490583 0.719791 -0.186287
-0.476952 0.722916 -0.160851
-0.475731 0.737549 -0.192902
-0.499054 0.717773 -0.213936
-0.507355 0.699112 -0.178955
-0.491943 0.702637 -0.150208
-0.463715 0.740295 -0.170441
-0.483154 0.735779 -0.217377
-0.516968 0.696838 -0.210144
0.554451 0.625362 -0.160034
0.539948 0.651382 -0.165527
0.534363 0.629669 -0.122665
0.568237 0.59848 -0.155029
0.566986 0.622635 -0.200577
0.551636 0.648743 -0.203308
0.52124 0.655518 -0.130676
0.546875 0.602905 -0.115356
0.581543 0.595703 -0.19812
-0.554451 0.625362 -0.160034
-0.534363 0.629669 -0.122665
-0.539948 0.651382 -0.165527
-0.566986 0.622635 -0.200577
-0.568237 0.59848 -0.155029
-0.546875 0.602905 -0.115356
-0.52124 0.655518 -0.130676
-0.551636 0.648743 -0.203308
-0.581543 0.595703 -0.19812
0.435793 0.650026 -0.043385
0.429695 0.674721 -0.056686
0.394478 0.658119 -0.030914
0.44165 0.624237 -0.031281
0.473938 0.642303 -0.063278
0.465088 0.66748 -0.075256
0.391388 0.682281 -0.045044
0.397461 0.632812 -0.018066
0.482422 0.616089 -0.052368
-0.435793 0.650026 -0.043385
-0.394478 0.658119 -0.030914
-0.429695 0.674721 -0.056686
-0.473938 0.642303 -0.063278
-0.44165 0.624237 -0.031281
-0.397461 0.632812 -0.018066
-0.391388 0.682281 -0.045044
-0.465088 0.66748 -0.075256
-0.482422 0.616089 -0.052368
0.409536 0.737062 -0.107073
0.40361 0.752808 -0.12307
0.381317 0.742607 -0.098648
0.416298 0.718636 -0.089279
0.435661 0.731766 -0.120537
0.426971 0.748108 -0.134918
0.378387 0.757751 -0.115662
0.384674 0.724884 -0.079712
0.445557 0.712646 -0.104553
-0.409536 0.737062 -0.107073
-0.381317 0.742607 -0.098648
-0.40361 0.752808 -0.12307
-0.435661 0.731766 -0.120537
-0.416298 0.718636 -0.089279
-0.384674 0.724884 -0.079712
-0.378387 0.757751 -0.115662
-0.426971 0.748108 -0.134918
-0.445557 0.712646 -0.104553
0.295601 0.758238 -0.107073
0.302277 0.771889 -0.12307
0.270142 0.762299 -0.120537
0.288086 0.742264 -0.089279
0.323273 0.753441 -0.098648
0.326752 0.767517 -0.115662
0.279816 0.775604 -0.134918
0.259247 0.746735 -0.104553
0.319366 0.736969 -0.079712
-0.295601 0.758238 -0.107073
-0.270142 0.762299 -0.120537
-0.302277 0.771889 -0.12307
-0.323273 0.753441 -0.098648
-0.288086 0.742264 -0.089279
-0.259247 0.746735 -0.104553
-0.279816 0.775604 -0.134918
-0.326752 0.767517 -0.115662
-0.319366 0.736969 -0.079712
0.267395 0.680546 -0.043385
0.273682 0.70314 -0.056686
0.229271 0.686409 -0.063278
0.261475 0.656738 -0.031281
0.308693 0.673714 -0.030914
0.31192 0.696808 -0.045044
0.238373 0.708527 -0.075256
0.220703 0.663086 -0.052368
0.305664 0.649414 -0.018066
-0.267395 0.680546 -0.043385
-0.229271 0.686409 -0.063278
-0.273682 0.70314 -0.056686
-0.308693 0.673714 -0.030914
-0.261475 0.656738 -0.031281
-0.220703 0.663086 -0.052368
-0.238373 0.708527 -0.075256
-0.31192 0.696808 -0.045044
-0.305664 0.649414 -0.018066
0.148794 0.696226 -0.160034
0.163658 0.717094 -0.165527
0.136261 0.69722 -0.200577
0.134888 0.674255 -0.155029
0.168877 0.694252 -0.122665
0.182343 0.715485 -0.130676
0.151978 0.717834 -0.203308
0.121582 0.675537 -0.19812
0.15625 0.671875 -0.115356
-0.148794 0.696226 -0.160034
-0.136261 0.69722 -0.200577
-0.163658 0.717094 -0.165527
-0.168877 0.694252 -0.122665
-0.134888 0.674255 -0.155029
-0.121582 0.675537 -0.19812
-0.151978 0.717834 -0.203308
-0.182343 0.715485 -0.130676
-0.15625 0.671875 -0.115356
0.216328 0.768185 -0.186287
0.232445 0.780968 -0.192902
0.207901 0.768509 -0.213936
0.198174 0.753319 -0.178955
0.229797 0.767242 -0.160851
0.244293 0.780121 -0.170441
0.225037 0.78125 -0.217377
0.188599 0.753723 -0.210144
0.21347 0.752228 -0.150208
-0.216328 0.768185 -0.186287
-0.207901 0.768509 -0.213936
-0.232445 0.780968 -0.192902
-0.229797 0.767242 -0.160851
-0.198174 0.753319 -0.178955
-0.188599 0.753723 -0.210144
-0.225037 0.78125 -0.217377
-0.244293 0.780121 -0.170441
-0.21347 0.752228 -0.150208
0.216328 0.768185 -0.300165
0.232445 0.780968 -0.294243
0.229797 0.767242 -0.326294
0.198174 0.753319 -0.306931
0.207901 0.768509 -0.27195
0.225037 0.78125 -0.269012
0.244293 0.780121 -0.317627
0.21347 0.752228 -0.336182
0.188599 0.753723 -0.27533
-0.216328 0.768185 -0.300165
-0.229797 0.767242 -0.326294
-0.232445 0.780968 -0.294243
-0.207901 0.768509 -0.27195
-0.198174 0.753319 -0.306931
-0.21347 0.752228 -0.336182
-0.244293 0.780121 -0.317627
-0.225037 0.78125 -0.269012
-0.188599 0.753723 -0.27533
0.148794 0.696226 -0.326481
0.163658 0.717094 -0.320358
0.168877 0.694252 -0.364563
0.134888 0.674255 -0.332367
0.136261 0.69722 -0.285355
0.151978 0.717834 -0.282166
0.182343 0.715485 -0.355713
0.15625 0.671875 -0.373047
0.121582 0.675537 -0.288452
-0.148794 0.696226 -0.326481
-0.168877 0.694252 -0.364563
-0.163658 0.717094 -0.320358
-0.136261 0.69722 -0.285355
-0.134888 0.674255 -0.332367
-0.15625 0.671875 -0.373047
-0.182343 0.715485 -0.355713
-0.151978 0.717834 -0.282166
-0.121582 0.675537 -0.288452
0.267395 0.680546 -0.445076
0.273682 0.70314 -0.430573
0.308693 0.673714 -0.457611
0.261475 0.656738 -0.458862
0.229271 0.686409 -0.424988
0.238373 0.708527 -0.411865
0.31192 0.696808 -0.442261
0.305664 0.649414 -0.472168
0.220703 0.663086 -0.4375
-0.267395 0.680546 -0.445076
-0.308693 0.673714 -0.457611
-0.273682 0.70314 -0.430573
-0.229271 0.686409 -0.424988
-0.261475 0.656738 -0.458862
-0.305664 0.649414 -0.472168
-0.31192 0.696808 -0.442261
-0.238373 0.708527 -0.411865
-0.220703 0.663086 -0.4375
0.295601 0.758238 -0.381268
0.302277 0.771889 -0.366592
0.323273 0.753441 -0.389755
0.288086 0.742264 -0.39798
0.270142 0.762299 -0.367615
0.279816 0.775604 -0.354492
0.326752 0.767517 -0.374084
0.319366 0.736969 -0.407593
0.259247 0.746735 -0.382568
-0.295601 0.758238 -0.381268
-0.323273 0.753441 -0.389755
-0.302277 0.771889 -0.366592
-0.270142 0.762299 -0.367615
-0.288086 0.742264 -0.39798
-0.319366 0.736969 -0.407593
-0.326752 0.767517 -0.374084
-0.279816 0.775604 -0.354492
-0.259247 0.746735 -0.382568
0.409536 0.737062 -0.381268
0.40361 0.752808 -0.366592
0.435661 0.731766 -0.367615
0.416298 0.718636 -0.39798
0.381317 0.742607 -0.389755
0.378387 0.757751 -0.374084
0.426971 0.748108 -0.354492
0.445557 0.712646 -0.382568
0.384674 0.724884 -0.407593
-0.409536 0.737062 -0.381268
-0.435661 0.731766 -0.367615
-0.40361 0.752808 -0.366592
-0.381317 0.742607 -0.389755
-0.416298 0.718636 -0.39798
-0.445557 0.712646 -0.382568
-0.426971 0.748108 -0.354492
-0.378387 0.757751 -0.374084
-0.384674 0.724884 -0.407593
0.435793 0.650026 -0.445076
0.429695 0.674721 -0.430573
0.473938 0.642303 -0.424988
0.44165 0.624237 -0.458862
0.394478 0.658119 -0.457611
0.391388 0.682281 -0.442261
0.465088 0.66748 -0.411865
0.482422 0.616089 -0.4375
0.397461 0.632812 -0.472168
-0.435793 0.650026 -0.445076
-0.473938 0.642303 -0.424988
-0.429695 0.674721 -0.430573
-0.394478 0.658119 -0.457611
-0.44165 0.624237 -0.458862
-0.482422 0.616089 -0.4375
-0.465088 0.66748 -0.411865
-0.391388 0.682281 -0.442261
-0.397461 0.632812 -0.472168
0.554451 0.625362 -0.326481
0.539948 0.651382 -0.320358
0.566986 0.622635 -0.285355
0.568237 0.59848 -0.332367
0.534363 0.629669 -0.364563
0.52124 0.655518 -0.355713
0.551636 0.648743 -0.282166
0.581543 0.595703 -0.288452
0.546875 0.602905 -0.373047
-0.554451 0.625362 -0.326481
-0.566986 0.622635 -0.285355
-0.539948 0.651382 -0.320358
-0.534363 0.629669 -0.364563
-0.568237 0.59848 -0.332367
-0.581543 0.595703 -0.288452
-0.551636 0.648743 -0.282166
-0.52124 0.655518 -0.355713
-0.546875 0.602905 -0.373047
0.490583 0.719791 -0.300165
0.475731 0.737549 -0.294243
0.499054 0.717773 -0.27195
0.507355 0.699112 -0.306931
0.476952 0.722916 -0.326294
0.463715 0.740295 -0.317627
0.483154 0.735779 -0.269012
0.516968 0.696838 -0.27533
0.491943 0.702637 -0.336182
-0.490583 0.719791 -0.300165
-0.499054 0.717773 -0.27195
-0.475731 0.737549 -0.294243
-0.476952 0.722916 -0.326294
-0.507355 0.699112 -0.306931
-0.516968 0.696838 -0.27533
-0.483154 0.735779 -0.269012
-0.463715 0.740295 -0.317627
-0.491943 0.702637 -0.336182
0.455147 0.769239 -0.286345
0.458488 0.761902 -0.28756
0.445485 0.771533 -0.306035
0.45182 0.775139 -0.285065
0.460876 0.767868 -0.265124
0.4646 0.760437 -0.265717
0.448456 0.764221 -0.307861
0.442373 0.777476 -0.303975
0.457031 0.773926 -0.264506
-0.455147 0.769239 -0.286345
-0.445485 0.771533 -0.306035
-0.458488 0.761902 -0.28756
-0.460876 0.767868 -0.265124
-0.45182 0.775139 -0.285065
-0.442373 0.777476 -0.303975
-0.448456 0.764221 -0.307861
-0.4646 0.760437 -0.265717
-0.457031 0.773926 -0.264506
0.39566 0.782614 -0.347622
0.396896 0.775269 -0.350296
0.374499 0.787137 -0.353882
0.394361 0.788539 -0.344879
0.415171 0.778379 -0.337306
0.417084 0.771057 -0.339844
0.375092 0.779724 -0.35675
0.373881 0.793142 -0.350769
0.413035 0.784353 -0.334574
-0.39566 0.782614 -0.347622
-0.374499 0.787137 -0.353882
-0.396896 0.775269 -0.350296
-0.415171 0.778379 -0.337306
-0.394361 0.788539 -0.344879
-0.373881 0.793142 -0.350769
-0.375092 0.779724 -0.35675
-0.417084 0.771057 -0.339844
-0.413035 0.784353 -0.334574
0.311326 0.799734 -0.347622
0.309967 0.792427 -0.350296
0.292936 0.802961 -0.337306
0.312536 0.805555 -0.344879
0.331479 0.795916 -0.353882
0.33078 0.788513 -0.35675
0.290924 0.795746 -0.339844
0.294881 0.808675 -0.334574
0.332052 0.80189 -0.350769
-0.311326 0.799734 -0.347622
-0.292936 0.802961 -0.337306
-0.309967 0.792427 -0.350296
-0.331479 0.795916 -0.353882
-0.312536 0.805555 -0.344879
-0.294881 0.808675 -0.334574
-0.290924 0.795746 -0.339844
-0.33078 0.788513 -0.35675
-0.332052 0.80189 -0.350769
0.253613 0.807582 -0.286345
0.250664 0.800529 -0.28756
0.247467 0.807831 -0.265124
0.256221 0.8131 -0.285065
0.263568 0.806857 -0.306035
0.260773 0.799774 -0.307861
0.244324 0.800781 -0.265717
0.250427 0.813354 -0.264506
0.266154 0.812419 -0.303975
-0.253613 0.807582 -0.286345
-0.247467 0.807831 -0.265124
-0.250664 0.800529 -0.28756
-0.263568 0.806857 -0.306035
-0.256221 0.8131 -0.285065
-0.250427 0.813355 -0.264506
-0.244324 0.800781 -0.265717
-0.260773 0.799774 -0.307861
-0.266154 0.812419 -0.303975
0.253613 0.807582 -0.201951
0.250664 0.800529 -0.200592
0.263568 0.806857 -0.183561
0.256221 0.8131 -0.203161
0.247467 0.807831 -0.222104
0.244324 0.800781 -0.221405
0.260773 0.799774 -0.181549
0.266154 0.812419 -0.185506
0.250427 0.813355 -0.222677
-0.253613 0.807582 -0.201951
-0.263568 0.806857 -0.183561
-0.250664 0.800529 -0.200592
-0.247467 0.807831 -0.222104
-0.256221 0.8131 -0.203161
-0.266154 0.812419 -0.185506
-0.260773 0.799774 -0.181549
-0.244324 0.800781 -0.221405
-0.250427 0.813354 -0.222677
0.311326 0.799734 -0.144238
0.309967 0.792427 -0.141289
0.331479 0.795916 -0.138092
0.312536 0.805555 -0.146846
0.292936 0.802961 -0.154193
0.290924 0.795746 -0.151398
0.33078 0.788513 -0.134949
0.332052 0.80189 -0.141052
0.294881 0.808675 -0.156779
-0.311326 0.799734 -0.144238
-0.331479 0.795916 -0.138092
-0.309967 0.792427 -0.141289
-0.292936 0.802961 -0.154193
-0.312536 0.805555 -0.146846
-0.332052 0.80189 -0.141052
-0.33078 0.788513 -0.134949
-0.290924 0.795746 -0.151398
-0.294881 0.808675 -0.156779
0.39566 0.782614 -0.144238
0.396896 0.775269 -0.141289
0.415171 0.778379 -0.154193
0.394361 0.788539 -0.146846
0.374499 0.787137 -0.138092
0.375092 0.779724 -0.134949
0.417084 0.771057 -0.151398
0.413035 0.784353 -0.156779
0.373881 0.793142 -0.141052
-0.39566 0.782614 -0.144238
-0.415171 0.778379 -0.154193
-0.396896 0.775269 -0.141289
-0.374499 0.787137 -0.138092
-0.394361 0.788539 -0.146846
-0.413035 0.784353 -0.156779
-0.417084 0.771057 -0.151398
